Paired evolution matrix comparison
Baseline: v35-control-no-conversation (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 11/10.33; C 9/9.33; paired Δ med/mean -2/-1 (3 pairs)
  births: B med/mean 4/4.33; C 3/3.67; paired Δ med/mean -1/-0.67 (3 pairs)
  reproductionOffers: B med/mean 9/10.33; C 9/9; paired Δ med/mean +1/-1.33 (3 pairs)
  reproductionAcceptances: B med/mean 6/7.67; C 7/7.67; paired Δ med/mean 0/0 (3 pairs)
  reproductionAttempts: B med/mean 39/37.33; C 23/24.67; paired Δ med/mean -16/-12.67 (3 pairs)
  reproductionConceptions: B med/mean 4/4.33; C 3/3.67; paired Δ med/mean -1/-0.67 (3 pairs)
  deaths: B med/mean 0/0.67; C 1/1; paired Δ med/mean 0/+0.33 (3 pairs)
  childDeaths: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 10/10.67; C 12/11.33; paired Δ med/mean +2/+0.67 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 10/10.67; C 12/11.33; paired Δ med/mean +2/+0.67 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 1/1.33; C 2/2; paired Δ med/mean 0/+0.67 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 3/2.67; C 2/1.67; paired Δ med/mean -1/-1 (3 pairs)
  childExposureDeaths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  lifeReviewDecisions: B med/mean 1/1.67; C 3/3.67; paired Δ med/mean +2/+2 (3 pairs)
  projectLifeReviewDecisions: B med/mean 1/1.67; C 3/3.67; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewPersonMonths: B med/mean 1/1.67; C 3/3.67; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 1/1.67; C 3/3.67; paired Δ med/mean +2/+2 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 1/1.67; C 6/5; paired Δ med/mean +3/+3.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 1/1.67; C 3/3.67; paired Δ med/mean +2/+2 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 0/0; C 1/1.33; paired Δ med/mean +1/+1.33 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 1/1.67; C 6/5; paired Δ med/mean +3/+3.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 1/1.67; C 6/5; paired Δ med/mean +3/+3.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 0/0; C 0/0.11; paired Δ med/mean 0/+0.11 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 1/1.67; C 6/5; paired Δ med/mean +3/+3.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 673/687.67; C 690/806.67; paired Δ med/mean +55/+119 (3 pairs)
  actionPersonMonths: B med/mean 272/281.33; C 273/280.33; paired Δ med/mean -4/-1 (3 pairs)
  projectActionPersonMonths: B med/mean 46/47; C 62/67; paired Δ med/mean +12/+20 (3 pairs)
  projectActionMonthShare: B med/mean 16.91/16.82; C 23.13/23.73; paired Δ med/mean +5.72/+6.91 (3 pairs)
  ruleDecisions: B med/mean 400/406; C 428/439.67; paired Δ med/mean +22/+33.67 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 83.51/80.95; C 77.57/74.63; paired Δ med/mean -5.97/-6.32 (3 pairs)
  strategicIntents: B med/mean 324/329; C 326/326.67; paired Δ med/mean -2/-2.33 (3 pairs)
  socialIntents: B med/mean 64/77; C 96/113; paired Δ med/mean +34/+36 (3 pairs)
  communications: B med/mean 61/67.33; C 84/91; paired Δ med/mean +21/+23.67 (3 pairs)
  survivalReflexActions: B med/mean 334/398.67; C 357/423.33; paired Δ med/mean +23/+24.67 (3 pairs)
  projectsStarted: B med/mean 28/28; C 28/27; paired Δ med/mean 0/-1 (3 pairs)
  projectsCompleted: B med/mean 11/12; C 8/9; paired Δ med/mean -4/-3 (3 pairs)
  projectsBlocked: B med/mean 16/15.33; C 19/17.67; paired Δ med/mean -1/+2.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 28/28; C 28/27; paired Δ med/mean 0/-1 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 99/100; C 120/112; paired Δ med/mean +8/+12 (3 pairs)
  projectsWithPressureUpdates: B med/mean 22/21.33; C 24/22; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureUpdates: B med/mean 72/72; C 88/85; paired Δ med/mean +8/+13 (3 pairs)
  projectPressureIncreases: B med/mean 11/9.33; C 17/15; paired Δ med/mean +9/+5.67 (3 pairs)
  projectPressureDecreases: B med/mean 19/18; C 26/24; paired Δ med/mean +7/+6 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 42/44.67; C 38/46; paired Δ med/mean -8/+1.33 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 3/4; C 1/3.33; paired Δ med/mean 0/-0.67 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 3/3.67; C 3/4.33; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 16/17.33; C 38/33; paired Δ med/mean +25/+15.67 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 21/18.67; C 16/15.67; paired Δ med/mean +3/-3 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEvidenceCount: B med/mean 310/336.33; C 486/577.33; paired Δ med/mean +176/+241 (3 pairs)
  projectProgressProjects: B med/mean 26/25.67; C 27/24; paired Δ med/mean +1/-1.67 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 198/224; C 357/347; paired Δ med/mean +190/+123 (3 pairs)
  projectMaterialContributionProgress: B med/mean 112/112.33; C 121/230.33; paired Δ med/mean +14/+118 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 13/12.33; C 15/13.33; paired Δ med/mean 0/+1 (3 pairs)
  projectSearchCampaigns: B med/mean 4/3.67; C 5/4.67; paired Δ med/mean +1/+1 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 4/3; C 4/4; paired Δ med/mean 0/+1 (3 pairs)
  searchCampaignActive: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignExhausted: B med/mean 0/1.33; C 1/0.67; paired Δ med/mean 0/-0.67 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignClosed: B med/mean 2/2; C 4/3.67; paired Δ med/mean +1/+1.67 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 2/13; C 18/20; paired Δ med/mean +16/+7 (3 pairs)
  searchCampaignMaxTargets: B med/mean 1/9.67; C 13/16; paired Δ med/mean +9/+6.33 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
