Paired evolution matrix comparison
Baseline: v34-direct-teaching (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: version-mismatch; Formula versions differ; civilization-index deltas are observer-only and cannot demonstrate an engine improvement.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 7/8.33; C 11/11; paired Δ med/mean +3/+2.67 (3 pairs)
  births: B med/mean 6/6; C 8/7.33; paired Δ med/mean +2/+1.33 (3 pairs)
  reproductionOffers: B med/mean 18/21; C 24/23; paired Δ med/mean 0/+2 (3 pairs)
  reproductionAcceptances: B med/mean 12/13.67; C 19/18.33; paired Δ med/mean +5/+4.67 (3 pairs)
  reproductionAttempts: B med/mean 65/71; C 63/61; paired Δ med/mean -2/-10 (3 pairs)
  reproductionConceptions: B med/mean 6/6.67; C 9/8.67; paired Δ med/mean +3/+2 (3 pairs)
  deaths: B med/mean 4/4.33; C 3/3; paired Δ med/mean 0/-1.33 (3 pairs)
  childDeaths: B med/mean 3/3; C 3/2.67; paired Δ med/mean 0/-0.33 (3 pairs)
  relationshipProposalOffers: B med/mean 19/22; C 26/26; paired Δ med/mean +1/+4 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 19/22; C 26/26; paired Δ med/mean +1/+4 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 5/5.67; C 7/6.67; paired Δ med/mean +1/+1 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 4/4; C 4/4; paired Δ med/mean 0/0 (3 pairs)
  childExposureDeaths: B med/mean 3/2.33; C 3/2.33; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewDecisions: B med/mean 5/4.33; C 6/5.67; paired Δ med/mean +1/+1.33 (3 pairs)
  projectLifeReviewDecisions: B med/mean 5/4.33; C 6/5.67; paired Δ med/mean +1/+1.33 (3 pairs)
  lifeReviewPersonMonths: B med/mean 5/4.33; C 6/5.67; paired Δ med/mean +1/+1.33 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 5/4.33; C 6/5.67; paired Δ med/mean +1/+1.33 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 7/7.67; C 8/7.33; paired Δ med/mean +1/-0.33 (3 pairs)
  interruptLifeReviewChildren: B med/mean 5/4.33; C 6/5.67; paired Δ med/mean +1/+1.33 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 2/3.33; C 1/1.67; paired Δ med/mean +1/-1.67 (3 pairs)
