Paired evolution matrix comparison
Baseline: v35-control-no-conversation (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/10.33; C 11/11; paired Δ med/mean 0/+0.67 (3 pairs)
  births: B med/mean 10/9.33; C 8/7.33; paired Δ med/mean -2/-2 (3 pairs)
  reproductionOffers: B med/mean 17/21; C 24/23; paired Δ med/mean +1/+2 (3 pairs)
  reproductionAcceptances: B med/mean 15/16; C 19/18.33; paired Δ med/mean +2/+2.33 (3 pairs)
  reproductionAttempts: B med/mean 64/67; C 63/61; paired Δ med/mean -8/-6 (3 pairs)
  reproductionConceptions: B med/mean 10/9.33; C 9/8.67; paired Δ med/mean -1/-0.67 (3 pairs)
  deaths: B med/mean 7/5.67; C 3/3; paired Δ med/mean -3/-2.67 (3 pairs)
  childDeaths: B med/mean 5/4.33; C 3/2.67; paired Δ med/mean -2/-1.67 (3 pairs)
  relationshipProposalOffers: B med/mean 19/22; C 26/26; paired Δ med/mean +1/+4 (3 pairs)
  relationshipProposalUniqueBases: B med/mean 19/22; C 26/26; paired Δ med/mean +1/+4 (3 pairs)
  relationshipProposalRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalOffersWithoutBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  relationshipProposalRepeatedDirectedPairs: B med/mean 5/5.33; C 7/6.67; paired Δ med/mean 0/+1.33 (3 pairs)
  relationshipProposalMaxPerDirectedPair: B med/mean 5/4.67; C 4/4; paired Δ med/mean -1/-0.67 (3 pairs)
  childExposureDeaths: B med/mean 5/4; C 3/2.33; paired Δ med/mean -2/-1.67 (3 pairs)
  lifeReviewDecisions: B med/mean 4/4.67; C 6/5.67; paired Δ med/mean 0/+1 (3 pairs)
  projectLifeReviewDecisions: B med/mean 4/4.67; C 6/5.67; paired Δ med/mean 0/+1 (3 pairs)
  lifeReviewPersonMonths: B med/mean 4/4.67; C 6/5.67; paired Δ med/mean 0/+1 (3 pairs)
  lifeReviewSameMonthDuplicates: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  lifeReviewUniqueBases: B med/mean 4/4.67; C 6/5.67; paired Δ med/mean 0/+1 (3 pairs)
  lifeReviewRepeatedBases: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptedIntentChildren: B med/mean 5/9.33; C 8/7.33; paired Δ med/mean +3/-2 (3 pairs)
  interruptLifeReviewChildren: B med/mean 4/4.67; C 6/5.67; paired Δ med/mean 0/+1 (3 pairs)
  interruptRequiredResponseChildren: B med/mean 1/4.67; C 1/1.67; paired Δ med/mean 0/-3 (3 pairs)
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 5/8.67; C 8/7.33; paired Δ med/mean +3/-1.33 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsResumed: B med/mean 5/8.67; C 8/7.33; paired Δ med/mean +3/-1.33 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 0/0.33; C 0/0; paired Δ med/mean 0/-0.33 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 1.4/0.96; C 0/0.08; paired Δ med/mean -1.15/-0.88 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 7/8.67; C 0/0.33; paired Δ med/mean -6/-8.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 3/7; C 8/7.33; paired Δ med/mean +5/+0.33 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 2/1.67; C 0/0; paired Δ med/mean -2/-1.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1443/1469; C 1558/1572; paired Δ med/mean +115/+103 (3 pairs)
  actionPersonMonths: B med/mean 566/568.33; C 555/564.33; paired Δ med/mean -8/-4 (3 pairs)
  projectActionPersonMonths: B med/mean 143/131; C 118/119; paired Δ med/mean -18/-12 (3 pairs)
  projectActionMonthShare: B med/mean 24.83/23.05; C 21.26/21.18; paired Δ med/mean -1.38/-1.87 (3 pairs)
  ruleDecisions: B med/mean 760/751; C 881/872.33; paired Δ med/mean +126/+121.33 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 79.43/78.14; C 68.74/71.99; paired Δ med/mean -5.67/-6.15 (3 pairs)
  strategicIntents: B med/mean 613/588; C 605/630; paired Δ med/mean +92/+42 (3 pairs)
  socialIntents: B med/mean 166/163; C 251/242.33; paired Δ med/mean +100/+79.33 (3 pairs)
  communications: B med/mean 142/145; C 216/211.33; paired Δ med/mean +68/+66.33 (3 pairs)
  survivalReflexActions: B med/mean 764/980.67; C 651/776; paired Δ med/mean -187/-204.67 (3 pairs)
  projectsStarted: B med/mean 45/44; C 42/42.67; paired Δ med/mean -3/-1.33 (3 pairs)
  projectsCompleted: B med/mean 13/16.67; C 14/13.33; paired Δ med/mean -3/-3.33 (3 pairs)
  projectsBlocked: B med/mean 27/25.33; C 28/27.67; paired Δ med/mean 0/+2.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 45/44; C 42/42.67; paired Δ med/mean -3/-1.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 216/217.67; C 165/177; paired Δ med/mean -51/-40.67 (3 pairs)
  projectsWithPressureUpdates: B med/mean 36/35.33; C 34/34; paired Δ med/mean 0/-1.33 (3 pairs)
  projectPressureUpdates: B med/mean 173/173.67; C 123/134.33; paired Δ med/mean -48/-39.33 (3 pairs)
  projectPressureIncreases: B med/mean 34/33; C 23/22.67; paired Δ med/mean -17/-10.33 (3 pairs)
  projectPressureDecreases: B med/mean 41/42.67; C 34/33.33; paired Δ med/mean -16/-9.33 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 102/98; C 79/78.33; paired Δ med/mean -23/-19.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 3/4; C 6/5; paired Δ med/mean 0/+1 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 3/3.67; C 3/4.33; paired Δ med/mean 0/+0.67 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 32/67.33; C 49/47; paired Δ med/mean -2/-20.33 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 22/30; C 16/21.33; paired Δ med/mean -5/-8.67 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 1/0.67; C 2/1.67; paired Δ med/mean +1/+1 (3 pairs)
  projectProgressEvidenceCount: B med/mean 1574/1280; C 1200/1138; paired Δ med/mean -285/-142 (3 pairs)
  projectProgressProjects: B med/mean 41/40.67; C 37/36.67; paired Δ med/mean -6/-4 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 1409/1112; C 730/850.33; paired Δ med/mean -272/-261.67 (3 pairs)
  projectMaterialContributionProgress: B med/mean 165/168; C 195/287.67; paired Δ med/mean +21/+119.67 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 22/21; C 21/20.33; paired Δ med/mean -1/-0.67 (3 pairs)
  projectSearchCampaigns: B med/mean 13/11; C 12/11.33; paired Δ med/mean -4/+0.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 10/8.33; C 10/9.67; paired Δ med/mean 0/+1.33 (3 pairs)
  searchCampaignActive: B med/mean 1/1; C 0/0; paired Δ med/mean -1/-1 (3 pairs)
  searchCampaignExhausted: B med/mean 1/2.67; C 4/3.67; paired Δ med/mean 0/+1 (3 pairs)
  searchCampaignSuperseded: B med/mean 1/2; C 0/0.67; paired Δ med/mean -1/-1.33 (3 pairs)
  searchCampaignClosed: B med/mean 5/5.33; C 7/7; paired Δ med/mean +3/+1.67 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 162/130; C 90/102.33; paired Δ med/mean -16/-27.67 (3 pairs)
  searchCampaignMaxTargets: B med/mean 45/39; C 47/47; paired Δ med/mean +10/+8 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 274/238; C 213/214; paired Δ med/mean -26/-24 (3 pairs)
  projectLogisticsFulfilled: B med/mean 262/225.33; C 207/207.67; paired Δ med/mean -20/-17.67 (3 pairs)
  projectLogisticsExhausted: B med/mean 8/9; C 5/4.67; paired Δ med/mean -4/-4.33 (3 pairs)
  projectSearchEpisodes: B med/mean 162/130; C 90/102.33; paired Δ med/mean -16/-27.67 (3 pairs)
  projectDropEpisodes: B med/mean 98/98; C 100/101; paired Δ med/mean +7/+3 (3 pairs)
  projectLogisticsActionEvents: B med/mean 1513/1211.33; C 848/956.67; paired Δ med/mean -278/-254.67 (3 pairs)
  jointProjectsCompleted: B med/mean 4/3.67; C 1/1.67; paired Δ med/mean -2/-2 (3 pairs)
  productionProjectsCompleted: B med/mean 2/5; C 5/4.67; paired Δ med/mean +3/-0.33 (3 pairs)
  constructionProjectsCompleted: B med/mean 11/11.67; C 10/8.67; paired Δ med/mean -4/-3 (3 pairs)
  totalStructures: B med/mean 23/21; C 17/16.67; paired Δ med/mean -6/-4.33 (3 pairs)
  completedStructures: B med/mean 8/6.33; C 5/4.67; paired Δ med/mean -1/-1.67 (3 pairs)
  constructionPlacements: B med/mean 32/28.67; C 23/22.33; paired Δ med/mean -9/-6.33 (3 pairs)
  containersBuilt: B med/mean 1/2.33; C 0/0; paired Δ med/mean -1/-2.33 (3 pairs)
  standingContainers: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  containerTransfers: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  storedUnits: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  movementActions: B med/mean 3460/3495; C 3296/3183; paired Δ med/mean -113/-312 (3 pairs)
  movementActionShare: B med/mean 74.2/75.38; C 71.23/70.44; paired Δ med/mean -2.97/-4.94 (3 pairs)
  spearsCrafted: B med/mean 8/7.33; C 12/11.33; paired Δ med/mean +4/+4 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/2.67; C 2/2; paired Δ med/mean +1/-0.67 (3 pairs)
  recordsCreated: B med/mean 1/0.67; C 1/1.33; paired Δ med/mean +1/+0.67 (3 pairs)
  functionalInstitutions: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 3/4.67; C 4/4.33; paired Δ med/mean -1/-0.33 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 39.29/41.17; C 23.33/26.12; paired Δ med/mean -10.88/-15.05 (3 pairs)
  dehydrationHibernations: B med/mean 39/43.67; C 43/44.67; paired Δ med/mean +4/+1 (3 pairs)
  assistedDependentHibernations: B med/mean 11/9; C 7/8; paired Δ med/mean -1/-1 (3 pairs)
  throughMonth: B med/mean 240/240; C 240/240; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 11/10; C 7/6.67; paired Δ med/mean -4/-3.33 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
